inc 20220102T193056Z - 20220102T203736Z # cp "practice problems jan 1"
inc 20220103T055031Z - 20220103T060430Z # "E. Extreme Extension" cp todo
inc 20220103T201347Z - 20220103T211136Z # "E. Extreme Extension" cp todo
inc 20220104T014956Z - 20220104T043509Z # "E. Extreme Extension" cp todo
inc 20220106T031703Z - 20220106T032241Z # "E. Math Test" cp todo
inc 20220106T043514Z - 20220106T053155Z # "abc201_e" cp todo
inc 20220106T054000Z - 20220106T064210Z # dwm linux "weather script"
inc 20220106T201909Z - 20220106T211541Z # "consider lvim as new nvim" nvim
inc 20220107T011634Z - 20220107T012903Z # "arc061_b" cp
inc 20220107T050708Z - 20220107T052339Z # "agc054_c" cp
inc 20220107T060224Z - 20220107T062737Z # "abc168_e" cp
inc 20220107T175648Z - 20220107T182127Z # "abc168_e" cp
inc 20220108T193311Z - 20220108T195108Z # "agc054_c" cp todo
inc 20220108T195118Z - 20220108T195122Z # "agc054_c" cp todo
inc 20220109T071500Z - 20220109T072810Z # "agc054_c" cp todo
inc 20220110T172756Z - 20220110T174556Z # "aising2019_d" cp todo
inc 20220110T203950Z - 20220110T221804Z # "aising2019_d" cp todo
inc 20220111T154419Z - 20220111T160012Z # "arc089_b" cp todo
inc 20220111T201500Z - 20220111T220551Z # "disable nvim notify lvim" nvim
inc 20220111T220608Z - 20220111T220622Z # linux nvim "setup bashls lvim"
inc 20220111T220849Z - 20220111T224756Z # linux nvim "setup bashls lvim"
inc 20220112T180134Z - 20220112T181122Z # dwm linux "setup dmenu"
inc 20220112T185300Z - 20220112T194705Z # "arc089_b" cp todo
inc 20220113T200830Z - 20220113T202339Z # "abc216_g" cp todo
inc 20220114T015439Z - 20220114T023016Z # "COCI 17-ceste" cp todo
inc 20220114T151320Z - 20220114T164219Z # general linux todo "update the installation note"
inc 20220114T175003Z - 20220114T175127Z # "G - 01Sequence" cp todo
inc 20220114T182051Z - 20220114T183031Z # "G - 01Sequence" cp todo
inc 20220114T190246Z - 20220114T194947Z # "G - 01Sequence" cp todo
